	hierarchy	brand	product	rating	loves_count	reviews_num	size	price	child_sku	item_id	similar_products	skin_concern	skin_type
2031375	Skincare,Treatments,Face Serums	The Ordinary	Hyaluronic Acid 2% + B5 Hydrating Serum	4.2325	1024774	5308	1 oz/ 30 mL	8.90	2286375	P427419	2031391,2210656,2210573,2211464,2672103	acneBlemishes,antiAging,darkCircles,darkSpots,dryness,unevenTexture,fineLinesWrinkles,lossOfFirmnessElasticity,pores,puffiness,redness,unevenSkinTone,notSureSC	Combination,Dry,Normal,Oily
2031391	Skincare,Treatments,Face Serums	The Ordinary	Niacinamide 10% + Zinc 1% Oil Control Serum 	4.2193	983822	7076	1 oz/ 30 mL	6.00	2286367	P427417	2031375,2210623,2210656,2210615,2672103	acneBlemishes,antiAging,darkCircles,darkSpots,dryness,unevenTexture,fineLinesWrinkles,lossOfFirmnessElasticity,pores,puffiness,redness,unevenSkinTone,notSureSC	Combination,Dry,Normal,Oily
2348431	Skincare,Cleansers,Toners	Glow Recipe	Watermelon Glow PHA + BHA Pore-Tight Toner	4.2846	534862	5651	5.07 oz/ 150 mL	35.00	2421519	P458219	2569390,2734606,2594844,2591972,2340230	acneBlemishes,antiAging,darkCircles,darkSpots,dryness,unevenTexture,fineLinesWrinkles,lossOfFirmnessElasticity,pores,puffiness,redness,unevenSkinTone,notSureSC	Combination,Dry,Normal,Oily
1966258	Skincare,Lip Balms & Treatments	LANEIGE	Lip Sleeping Mask Intense Hydration with Vitamin C	4.3328	1341837	17791	0.7 oz / 20 g	24.00	2371367,2133528,2273639	P420652	2210482,2743581,2716538,2449908,2512572	acneBlemishes,antiAging,darkCircles,darkSpots,dryness,unevenTexture,fineLinesWrinkles,lossOfFirmnessElasticity,pores,puffiness,redness,unevenSkinTone,notSureSC	Combination,Dry,Normal,Oily
2556744	Bath & Body,Body Care,Hand Sanitizer & Hand Soap	Touchland	Power Mist Hydrating Hand Sanitizer	4.257	296311	681		10.00	2556819,2556793,2556751,2611234,2559649,2556769,2611242,2556785,2556777,2643674	P480529	2556801,2737310,2057644,2175388,1985118	acneBlemishes,antiAging,darkCircles,darkSpots,dryness,unevenTexture,fineLinesWrinkles,lossOfFirmnessElasticity,pores,puffiness,redness,unevenSkinTone,notSureSC	Combination,Dry,Normal,Oily
2025633	Skincare,Moisturizers,Moisturizers	Drunk Elephant	Protini™ Polypeptide Firming Refillable Moisturizer	3.9996	558476	7184	1.69 oz/ 50 mL	68.00	2385748,2404739,2647196	P427421	1679315,1785856,2530384,2331809,2648798	acneBlemishes,antiAging,darkCircles,darkSpots,dryness,unevenTexture,fineLinesWrinkles,lossOfFirmnessElasticity,pores,puffiness,redness,unevenSkinTone,notSureSC	Combination,Dry,Normal,Oily
2404846	Skincare,Treatments,Face Serums	Glow Recipe	Watermelon Glow Niacinamide Dew Drops Serum	4.3185	696700	3827	1.35 oz/ 40 mL	35.00	2640340,2719771	P466123	2637965,2535151,2207231,2640340,2689743	acneBlemishes,antiAging,darkCircles,darkSpots,dryness,unevenTexture,fineLinesWrinkles,lossOfFirmnessElasticity,pores,puffiness,redness,unevenSkinTone,notSureSC	Combination,Dry,Normal,Oily
1930759	Fragrance,Women,Body Mist & Hair Mist	Sol de Janeiro	Brazilian Crush Cheirosa ’62 Bum Bum Hair & Body Fragrance Mist	4.3853	440363	2606	8.1 oz/ 240 mL	38.00	1985118	P417312	2461812,2376044,2577443,2320216,2281038	acneBlemishes,antiAging,darkCircles,darkSpots,dryness,unevenTexture,fineLinesWrinkles,lossOfFirmnessElasticity,pores,puffiness,redness,unevenSkinTone,notSureSC	Combination,Dry,Normal,Oily
2536423	Skincare,Lip Balms & Treatments	Fenty Skin	Fenty Treatz Hydrating + Strengthening Lip Oil	4.2553	215865	889	.19 oz / 5.6 mL	24.00	2731792	P500307	2600344,2710119,2337657,2346310,2549418	acneBlemishes,antiAging,darkCircles,darkSpots,dryness,unevenTexture,fineLinesWrinkles,lossOfFirmnessElasticity,pores,puffiness,redness,unevenSkinTone,notSureSC	Combination,Dry,Normal,Oily
2282069	Skincare,Masks,Sheet Masks	SEPHORA COLLECTION	Clean Face Mask	4.1472	121786	523	1 Mask	6.00		P460701	2283000,2497188,2579951,1639343,2175370	acneBlemishes,antiAging,darkCircles,darkSpots,dryness,unevenTexture,fineLinesWrinkles,lossOfFirmnessElasticity,pores,puffiness,redness,unevenSkinTone,notSureSC	Combination,Dry,Normal,Oily
2486272	Skincare,Moisturizers,Moisturizers	Charlotte Tilbury	Magic Cream Moisturizer with Hyaluronic Acid	4.3129	171570	4260	1.7 oz/ 50 mL	100.00	2486298,2486249,2486280,2486306,2142065	P433520	1800267,2486256,1971274,1982057,2533578	acneBlemishes,antiAging,darkCircles,darkSpots,dryness,unevenTexture,fineLinesWrinkles,lossOfFirmnessElasticity,pores,puffiness,redness,unevenSkinTone,notSureSC	Combination,Dry,Normal,Oily
2495539	Skincare,Eye Care,Eye Masks	SEPHORA COLLECTION	Vitamin Eye Masks	4.2384	43716	172	1 Pair	4.00	2495547	P483151	2049625,2156925,2463107,2604601,2412112	acneBlemishes,antiAging,darkCircles,darkSpots,dryness,unevenTexture,fineLinesWrinkles,lossOfFirmnessElasticity,pores,puffiness,redness,unevenSkinTone,notSureSC	Combination,Dry,Normal,Oily
2614394	Skincare,Masks,Sheet Masks	SEPHORA COLLECTION	Hydrating Face Masks	4.7114	27280	350	Coconut / 1 piece	6.00	2614428,2614436,2614402,2614410,2614444	P505336	2461853,2567485,2567477,2592657,2529667	acneBlemishes,antiAging,darkCircles,darkSpots,dryness,unevenTexture,fineLinesWrinkles,lossOfFirmnessElasticity,pores,puffiness,redness,unevenSkinTone,notSureSC	Combination,Dry,Normal,Oily
2495687	Skincare,Treatments,Face Serums	The Ordinary	Salicylic Acid 2% Anhydrous Solution Pore Clearing Serum	3.8393	166149	529	1 oz/ 30 mL	7.50		P479732	2031391,2210607,2211597,2611390,2210623	acneBlemishes,antiAging,darkCircles,darkSpots,dryness,unevenTexture,fineLinesWrinkles,lossOfFirmnessElasticity,pores,puffiness,redness,unevenSkinTone,notSureSC	Combination,Dry,Normal,Oily
