rating,loves_count,reviews_num,size_price_ratio,brand_size,brand_encoded,hierarchy_2_encoded
4.0181,18325,719.0,15.294117647058824,63,15,9
4.398,46140,1015.0,3.134328358208955,63,15,0
4.1654,51136,1052.0,5.9523809523809526,63,15,0
4.3684,6099,38.0,57.05882352941177,40,104,6
4.1667,11997,288.0,5.4,63,15,0
4.0017,22129,590.0,34.705882352941174,63,15,6
4.2934,67104,910.0,29.090909090909093,26,38,4
4.4286,19122,399.0,9.047619047619047,17,69,0
3.9323,18804,251.0,18.823529411764707,63,15,8
4.1659,8593,223.0,11.0,31,62,0
4.4538,29192,617.0,32.94117647058824,31,62,9
4.2219,97166,3181.0,28.0,31,62,9
4.1408,18630,710.0,44.70588235294118,31,62,6
3.9296,4727,71.0,280.0,31,62,1
4.6812,7869,69.0,31.0,15,58,9
3.963,3904,27.0,82.0,15,58,1
4.8043,1145,46.0,6.666666666666667,15,58,0
4.4787,20024,282.0,9.411764705882353,63,15,4
4.43,80108,3007.0,39.0,31,62,0
4.3333,5378,33.0,76.0,63,15,1
4.2233,26315,842.0,40.588235294117645,32,81,6
4.3607,164087,5295.0,4.8,17,34,0
4.4615,338965,10031.0,6.333333333333333,17,34,6
4.778,9802,482.0,2.1875,15,58,0
4.3106,29996,573.0,65.0,27,90,9
3.7662,26859,911.0,76.0,63,15,1
4.5931,12355,145.0,6.0,15,58,8
4.0703,35997,1649.0,76.0,63,15,1
4.3754,69422,2419.0,14.0,3,98,3
3.4736,23303,511.0,14.411764705882353,27,90,9
4.086,23247,407.0,128.0,4,8,1
3.5,13281,12.0,180.0,4,8,1
4.6383,197652,4136.0,55.0,4,8,6
4.5198,9827,202.0,3.134328358208955,63,15,0
4.3704,43343,1393.0,3.134328358208955,63,15,0
4.3712,7247,229.0,3.134328358208955,63,15,0
3.8603,10954,408.0,56.0,63,15,9
3.2747,65171,739.0,38.0,27,90,1
4.2425,10239,268.0,7.0,27,0,0
4.3833,11578,240.0,47.0,27,0,6
4.5333,4076,15.0,16.0,15,58,6
4.5348,24178,359.0,52.35294117647059,40,104,6
4.2897,105563,3328.0,5.4,32,87,0
3.9386,104265,1725.0,66.66666666666667,32,87,9
4.0538,28501,502.0,98.0,32,87,1
4.2821,133155,3006.0,1.8666666666666667,26,38,3
4.1364,19356,132.0,16.0,3,98,3
4.4259,13601,108.0,67.0,27,14,6
3.5783,17136,396.0,130.0,40,104,1
4.3328,75142,601.0,61.016949152542374,16,116,6
4.3947,28718,527.0,28.0,27,0,8
4.4114,52868,1850.0,4.8,26,11,6
3.2428,17469,383.0,135.2941176470588,63,15,1
4.5057,75977,1236.0,10.4,27,90,4
4.1331,15951,924.0,20.833333333333332,9,105,0
4.0837,127891,3225.0,39.6,9,105,6
4.4667,3565,60.0,250.0,9,105,6
4.1701,70808,1023.0,16.47058823529412,17,34,6
4.25,3058,24.0,36.470588235294116,22,30,6
4.3113,7354,302.0,38.75,22,30,6
4.2234,15414,94.0,75.29411764705883,22,30,9
4.3931,80569,2422.0,38.82352941176471,4,119,6
3.9067,10591,150.0,118.0,63,15,1
4.4675,36207,477.0,12.647058823529411,63,15,4
4.0077,47803,907.0,111.42857142857143,4,119,1
4.2667,10176,105.0,7.6,32,87,0
4.5369,60288,1719.0,14.411764705882353,27,90,9
4.2532,14429,79.0,79.12087912087912,40,104,4
4.4538,9640,119.0,6.4,22,30,0
4.1333,6376,30.0,4.477611940298507,22,30,0
4.4071,9690,140.0,67.0,27,14,6
3.9179,98890,2180.0,7.738095238095238,63,15,6
3.8646,15560,96.0,44.70588235294118,21,120,6
3.4234,7305,137.0,76.47058823529412,21,120,6
4.345,58355,858.0,68.0,21,120,4
3.4115,9137,243.0,146.0,21,120,9
4.4435,12617,248.0,82.0,27,0,6
4.046,7129,87.0,57.64705882352941,31,62,6
4.1885,31996,541.0,11.0,27,90,4
4.0114,3679,88.0,77.64705882352942,18,24,6
4.1852,4161,54.0,112.59259259259258,18,24,9
4.0849,21476,212.0,38.82352941176471,32,87,6
3.75,5445,52.0,196.0,31,62,1
4.1667,3505,18.0,3.582089552238806,63,15,0
4.475,3154,40.0,10.588235294117647,63,15,6
4.2083,3641,48.0,10.588235294117647,63,15,6
4.725,2875,40.0,5.714285714285714,63,15,0
4.305,21759,600.0,56.0,27,0,6
4.3082,33600,571.0,5.223880597014925,63,15,6
4.2284,61897,1099.0,33.0,63,15,9
3.8175,18565,137.0,8.0,40,104,8
4.5455,5160,11.0,13.529411764705882,63,15,6
4.4723,53281,1641.0,5.4,32,87,0
4.5851,13958,282.0,5.0,15,58,0
3.8805,6784,159.0,67.64705882352942,2,67,6
4.6581,60381,737.0,12.0,27,90,4
4.4545,5311,44.0,83.33333333333333,19,22,6
4.1205,36267,473.0,6.865671641791044,8,112,7
4.4161,27684,161.0,5.833333333333333,40,104,0
3.7759,8644,116.0,148.0,27,0,1
4.0647,12900,340.0,7.6,27,0,0
3.6964,11896,56.0,32.0,4,119,5
4.075,6741,120.0,4.8,63,15,0
4.3146,61116,569.0,25.88235294117647,17,34,6
3.9802,11379,101.0,21.463414634146343,21,120,0
4.1449,77657,490.0,29.090909090909093,26,38,4
3.8092,12332,131.0,120.0,32,87,1
4.0169,11255,237.0,118.0,27,0,9
4.1714,16625,175.0,21.463414634146343,21,120,0
3.8381,7770,105.0,5.9523809523809526,63,15,9
4.1032,23412,407.0,14.0,3,98,3
4.4574,33727,387.0,7.0,28,28,0
4.4547,23424,453.0,7.0,28,28,0
4.2063,67404,286.0,76.0,28,28,6
4.0784,185512,2488.0,88.98305084745763,16,116,6
4.7857,11184,28.0,67.0,27,14,6
4.4579,45252,712.0,21.463414634146343,21,120,0
3.485,17317,200.0,17.0,27,90,4
4.3713,24629,544.0,12.0,27,90,4
4.3261,7128,138.0,56.0,63,15,9
4.4362,7804,94.0,9.696969696969697,15,58,6
4.4672,203762,1188.0,16.8,26,11,4
3.3017,36321,643.0,24.0,15,17,8
4.2607,16184,280.0,14.705882352941178,16,116,0
4.2212,21929,321.0,29.5,18,24,0
4.0978,28141,1012.0,119.40298507462686,17,69,1
4.671,7924,155.0,2.4,15,58,0
4.3939,8876,165.0,19.411764705882355,63,15,6
4.2222,2812,9.0,38.23529411764706,63,15,6
4.2391,8614,46.0,38.82352941176471,22,30,6
4.7407,5730,27.0,4.029850746268656,63,15,0
3.9465,220562,2095.0,36.29629629629629,25,121,6
4.5745,8524,94.0,28.0,15,58,6
4.375,30791,88.0,139.70588235294116,25,121,4
4.4773,12993,88.0,5.671641791044776,32,87,0
4.2416,128304,2020.0,25.0,18,48,4
4.2122,77025,1018.0,43.529411764705884,18,48,6
4.3427,27882,248.0,43.529411764705884,18,48,6
3.7157,119671,1998.0,138.46153846153845,28,28,3
4.141,6230,78.0,42.5,27,0,6
4.0753,10761,93.0,140.0,27,0,1
4.462,51370,184.0,98.0,25,121,6
3.6752,49415,1010.0,64.0,63,15,1
4.4325,68215,978.0,11.0,31,62,0
3.6751,154485,1391.0,28.0,6,78,6
3.161,14307,236.0,12.727272727272728,40,104,8
4.2824,390094,3513.0,28.994082840236686,28,28,9
4.2714,11276,70.0,38.75,27,14,6
3.7083,4128,24.0,34.705882352941174,27,14,6
3.7632,6528,76.0,34.705882352941174,27,14,6
4.1111,10245,117.0,56.0,63,15,9
4.0396,21467,631.0,44.70588235294118,31,62,6
